brand,model_type,transmission,fuel_type,owner_type,year,engine_cc,mileage_km,tax_annual,price_usd
Mazda,MPV,Manual,Petrol,Third,2012,1223,154622,54.61,2730.27
BMW,Sedan,Automatic,Diesel,First,2024,2762,11358,1072.89,53644.69
Honda,MPV,Automatic,Hybrid,Second,2024,1836,19279,438.95,21947.61
Mercedes,Sedan,Manual,Hybrid,First,2015,2308,123320,180.86,9042.77
Mercedes,Hatchback,Manual,Diesel,Second,2010,3707,253680,65.30,3264.95
Toyota,Coupe,Manual,Hybrid,First,2017,1270,82240,172.36,8618.16
Toyota,Sedan,Manual,Hybrid,First,2007,1069,265392,59.28,2963.81
Mercedes,MPV,Manual,Petrol,Third,2021,2999,40588,527.78,26389.18
Porsche,Sedan,Automatic,Diesel,Second,2022,1227,39645,1129.35,56467.74
Mercedes,Sedan,Manual,Diesel,Second,2022,3587,52641,787.61,39380.26
Suzuki,Sedan,Automatic,Petrol,First,2018,2256,123382,121.78,6089.02
Mercedes,MPV,Automatic,Diesel,Second,2019,3008,95130,382.57,19128.58
BMW,Hatchback,Automatic,Petrol,Third,2007,3674,291294,75.80,3790.08
Porsche,Coupe,Manual,Diesel,Third,2005,1121,330040,74.73,3736.72
Mazda,Coupe,Manual,Hybrid,Second,2024,1893,18231,600.53,30026.57
Audi,Hatchback,Manual,Diesel,Third,2018,1882,94899,316.55,15827.66
Audi,Sedan,Manual,Diesel,Third,2019,1646,86502,368.73,18436.28
Audi,Hatchback,Manual,Hybrid,Third,2005,1440,252360,36.33,1816.65
Daihatsu,MPV,Manual,Petrol,Second,2017,1096,128680,52.55,2627.63
Honda,Sedan,Manual,Diesel,Second,2015,2427,158930,49.86,2493.03
Honda,Sedan,Manual,Hybrid,First,2011,2417,273350,46.22,2311.12
Porsche,Sedan,Manual,Diesel,Second,2005,1393,248060,65.25,3262.68
Suzuki,Coupe,Automatic,Diesel,Second,2018,1192,137053,53.59,2679.50
Honda,Coupe,Automatic,Diesel,Second,2023,1057,36048,304.82,15240.81
Mercedes,SUV,Automatic,Petrol,First,2021,2762,73032,746.73,37336.27
Porsche,SUV,Automatic,Hybrid,First,2020,2126,79915,1337.49,66874.35
Ferrari,Sedan,Manual,Hybrid,Third,2023,5116,35896,3057.11,152855.32
Daihatsu,SUV,Automatic,Petrol,First,2024,1163,11742,328.70,16435.01
Mercedes,MPV,Automatic,Hybrid,Third,2022,2427,53229,619.61,30980.55
Toyota,Hatchback,Automatic,Petrol,Third,2012,1504,239460,75.27,3763.59
Toyota,Hatchback,Automatic,Diesel,Second,2021,2291,66884,298.85,14942.30
Toyota,Sedan,Manual,Petrol,Second,2018,1831,85694,126.21,6310.59
Daihatsu,Hatchback,Automatic,Diesel,First,2007,1636,277524,33.22,1661.17
BMW,Sedan,Automatic,Diesel,First,2018,3188,102501,346.42,17321.05
BMW,Coupe,Automatic,Petrol,First,2008,3007,301801,26.64,1332.14
Suzuki,MPV,Automatic,Petrol,Third,2009,1021,197152,76.25,3812.58
Daihatsu,MPV,Manual,Hybrid,Second,2012,1717,157456,41.44,2072.23
Toyota,SUV,Automatic,Hybrid,Second,2024,1470,17655,425.94,21296.90
Suzuki,MPV,Automatic,Hybrid,First,2022,1917,42576,328.83,16441.44
BMW,Sedan,Automatic,Diesel,Second,2009,2027,261520,40.67,2033.69
Daihatsu,SUV,Manual,Hybrid,Third,2023,2500,33180,382.04,19101.81
Toyota,Hatchback,Manual,Hybrid,Third,2005,2048,368360,63.94,3196.79
Suzuki,MPV,Manual,Petrol,First,2021,1199,53460,153.42,7670.92
BMW,SUV,Manual,Petrol,First,2017,2390,100672,278.21,13910.73
Suzuki,Hatchback,Manual,Petrol,Third,2007,2305,211698,77.04,3851.82
Toyota,SUV,Manual,Hybrid,First,2024,1355,16266,444.95,22247.65
VW,SUV,Automatic,Petrol,Second,2009,1597,205744,34.32,1716.18
Suzuki,Coupe,Manual,Diesel,Second,2015,1097,140900,35.80,1790.03
Daihatsu,Hatchback,Automatic,Petrol,Second,2009,2209,225920,54.75,2737.63
Toyota,SUV,Automatic,Diesel,Second,2006,1807,218766,51.40,2569.82
VW,Sedan,Automatic,Hybrid,Third,2012,1056,244192,41.59,2079.57
Toyota,Sedan,Manual,Diesel,Third,2022,2333,49683,272.21,13610.74
Toyota,Coupe,Manual,Hybrid,First,2020,2002,86450,337.22,16860.76
Daihatsu,Sedan,Automatic,Diesel,First,2015,1868,140820,57.46,2872.82
Toyota,Hatchback,Manual,Hybrid,First,2005,2436,213240,49.74,2487.15
Suzuki,SUV,Automatic,Hybrid,Third,2014,2296,133254,89.73,4486.32
Porsche,SUV,Manual,Hybrid,Third,2017,1994,102480,722.87,36143.57
Daihatsu,Sedan,Automatic,Petrol,Second,2010,1798,277440,66.77,3338.55
Porsche,Hatchback,Automatic,Hybrid,First,2022,2056,53802,1412.31,70615.51
Ferrari,Hatchback,Manual,Diesel,Third,2019,5474,96900,1975.97,98798.71
Mercedes,Coupe,Automatic,Hybrid,First,2018,3219,103019,509.40,25469.88
Audi,MPV,Manual,Hybrid,Second,2012,1184,131313,119.95,5997.52
VW,Sedan,Manual,Diesel,Second,2009,2185,251024,55.59,2779.39
Ferrari,Sedan,Automatic,Hybrid,First,2014,6321,118206,1480.52,74025.80
Mercedes,SUV,Automatic,Petrol,Third,2021,2589,68852,586.49,29324.28
Honda,Coupe,Automatic,Diesel,Second,2015,1368,186210,52.26,2613.11
Mazda,SUV,Automatic,Hybrid,Second,2010,2383,255165,22.88,1144.09
BMW,Coupe,Automatic,Petrol,Third,2009,2818,239664,45.84,2292.09
Ferrari,Hatchback,Automatic,Hybrid,First,2006,4796,326553,352.08,17603.83
Ferrari,Sedan,Manual,Diesel,Second,2017,4060,125872,1649.07,82453.48
Suzuki,MPV,Automatic,Diesel,Second,2020,1488,54790,145.15,7257.55
Porsche,Coupe,Manual,Petrol,Second,2022,1111,39765,1461.89,73094.49
BMW,Sedan,Manual,Hybrid,Third,2009,3112,256112,25.10,1255.02
Suzuki,Hatchback,Manual,Petrol,First,2009,2367,306224,67.73,3386.45
BMW,MPV,Automatic,Petrol,Second,2016,2157,160074,112.80,5639.88
Honda,SUV,Automatic,Diesel,First,2006,1653,215099,66.54,3327.07
Mercedes,Coupe,Manual,Petrol,Third,2022,3295,50469,820.21,41010.52
VW,Coupe,Automatic,Hybrid,Third,2016,1725,119493,183.92,9195.91
BMW,Coupe,Manual,Hybrid,Second,2021,3233,40952,784.67,39233.35
Mercedes,Coupe,Automatic,Petrol,First,2012,2957,173095,32.36,1617.89
Porsche,SUV,Automatic,Diesel,First,2023,2160,28772,1839.72,91985.77
Mercedes,Hatchback,Manual,Hybrid,First,2017,2563,111648,280.47,14023.55
Ferrari,Hatchback,Automatic,Diesel,Third,2016,6285,176418,1407.90,70395.04
Audi,Hatchback,Automatic,Petrol,Third,2023,2036,34228,665.31,33265.33
Toyota,Coupe,Manual,Petrol,Second,2009,1278,222528,28.72,1436.23
Suzuki,Hatchback,Manual,Diesel,Third,2009,2132,160368,65.84,3291.83
Suzuki,Sedan,Manual,Hybrid,Second,2017,1713,84008,111.46,5573.00
Mercedes,Hatchback,Automatic,Hybrid,Third,2011,2944,192164,57.37,2868.55
Suzuki,Hatchback,Automatic,Diesel,Second,2022,1600,50796,209.87,10493.60
Ferrari,SUV,Automatic,Hybrid,Second,2010,4562,288180,792.87,39643.68
Suzuki,Coupe,Manual,Diesel,First,2024,1031,11602,320.77,16038.27
Daihatsu,Sedan,Automatic,Hybrid,Second,2006,1637,243580,79.06,3952.80
VW,Hatchback,Manual,Diesel,First,2018,2344,94717,227.74,11387.20
Suzuki,Coupe,Manual,Diesel,Third,2015,2143,122360,88.18,4408.81
Porsche,Sedan,Automatic,Petrol,Third,2024,1859,16263,1348.03,67401.65
Audi,MPV,Automatic,Hybrid,First,2005,1166,257020,40.34,2017.08
Toyota,MPV,Automatic,Diesel,First,2005,1583,362580,39.31,1965.38
Porsche,Sedan,Automatic,Petrol,First,2009,1177,175136,153.60,7680.18
Audi,MPV,Automatic,Petrol,Third,2006,1224,341620,53.50,2674.83
BMW,Sedan,Manual,Hybrid,Third,2021,2874,62124,496.58,24829.23
Honda,MPV,Automatic,Hybrid,First,2006,1007,367612,53.98,2698.93
Daihatsu,SUV,Manual,Petrol,First,2023,2014,35198,379.36,18968.18
VW,MPV,Manual,Petrol,Third,2005,1690,277280,42.25,2112.69
Ferrari,MPV,Manual,Diesel,First,2016,6247,125667,1802.40,90120.15
Porsche,Hatchback,Manual,Diesel,Second,2013,2187,169992,337.72,16885.91
Mazda,SUV,Manual,Hybrid,Third,2009,2066,276016,32.60,1630.22
Honda,MPV,Automatic,Petrol,Second,2020,1196,88365,147.22,7360.77
Mercedes,MPV,Automatic,Petrol,First,2023,2656,31218,942.34,47116.82
Suzuki,Sedan,Automatic,Hybrid,Second,2023,1552,22274,289.95,14497.29
Daihatsu,Sedan,Manual,Hybrid,Third,2019,1191,63888,101.97,5098.72
Mazda,Coupe,Manual,Diesel,Second,2015,1691,128630,87.31,4365.61
Ferrari,Coupe,Automatic,Hybrid,Third,2010,5526,250995,819.09,40954.44
BMW,MPV,Manual,Diesel,First,2008,2432,253266,49.87,2493.47
Toyota,SUV,Manual,Diesel,Second,2012,2450,204100,48.13,2406.69
Ferrari,SUV,Automatic,Diesel,Second,2007,5221,224172,567.58,28379.07
Porsche,Sedan,Manual,Petrol,Third,2017,1477,133656,499.93,24996.29
Mazda,SUV,Manual,Petrol,Second,2017,1494,134072,108.17,5408.68
Suzuki,Sedan,Manual,Diesel,Second,2023,1629,33104,251.82,12591.05
Mazda,MPV,Automatic,Petrol,Second,2021,1287,50344,240.55,12027.26
Suzuki,Hatchback,Automatic,Diesel,First,2016,1924,144054,47.87,2393.63
Ferrari,SUV,Automatic,Hybrid,Second,2019,5995,116934,2686.11,134305.75
Audi,Coupe,Automatic,Diesel,Second,2023,2391,34690,1033.13,51656.53
Daihatsu,Coupe,Manual,Diesel,Second,2016,1936,115533,61.85,3092.51
Mazda,Sedan,Automatic,Diesel,Second,2021,1931,72560,296.98,14848.97
Ferrari,SUV,Automatic,Hybrid,Second,2014,4281,140514,1459.50,72974.91
Audi,Sedan,Automatic,Petrol,Third,2014,1606,184899,131.20,6560.23
Suzuki,SUV,Automatic,Hybrid,Third,2007,1392,290574,55.17,2758.37
Mazda,MPV,Automatic,Hybrid,Third,2017,1262,143312,65.02,3251.07
Mazda,MPV,Automatic,Diesel,Third,2008,1108,261154,21.84,1091.81
Toyota,Coupe,Manual,Diesel,Third,2006,1352,339872,27.21,1360.73
Mazda,Coupe,Automatic,Petrol,Second,2021,1689,62016,361.63,18081.60
Suzuki,SUV,Automatic,Diesel,First,2018,1100,117845,77.93,3896.60
Toyota,Hatchback,Manual,Petrol,Third,2016,1933,155511,45.69,2284.50
Suzuki,SUV,Automatic,Petrol,First,2009,2279,282320,47.02,2350.93
Honda,Coupe,Automatic,Diesel,Second,2009,1103,243072,74.02,3700.79
Toyota,Coupe,Automatic,Hybrid,Second,2015,2054,107830,167.74,8387.23
Daihatsu,SUV,Manual,Petrol,Second,2008,2265,289238,32.69,1634.57
Mazda,Coupe,Manual,Diesel,Third,2021,2028,50920,357.13,17856.53
Audi,SUV,Manual,Hybrid,First,2012,1719,165893,181.88,9094.02
VW,Sedan,Automatic,Hybrid,Third,2011,1753,187432,44.12,2205.86
Suzuki,MPV,Manual,Petrol,First,2010,1034,246090,65.40,3269.89
Toyota,Sedan,Automatic,Diesel,First,2022,2008,52017,345.56,17277.86
Ferrari,Sedan,Manual,Diesel,First,2013,5500,236196,1112.68,55633.80
BMW,MPV,Manual,Hybrid,First,2021,3718,63284,733.09,36654.41
Suzuki,MPV,Automatic,Hybrid,Third,2020,1388,53750,170.72,8535.79
Audi,MPV,Automatic,Petrol,Second,2006,2453,296096,54.64,2732.02
VW,MPV,Manual,Hybrid,First,2013,2048,213396,33.92,1695.92
Suzuki,Hatchback,Automatic,Hybrid,Third,2008,1678,294610,30.93,1546.54
Mercedes,MPV,Manual,Petrol,Third,2007,3362,233820,60.27,3013.42
Daihatsu,SUV,Automatic,Diesel,Third,2021,1259,61896,173.89,8694.52
Porsche,MPV,Manual,Petrol,Second,2022,1621,38781,1174.20,58709.87
Honda,Hatchback,Automatic,Diesel,First,2024,1879,13266,471.80,23590.21
Toyota,MPV,Automatic,Hybrid,First,2018,1773,87423,191.02,9551.05
Porsche,SUV,Manual,Hybrid,First,2020,2000,99790,1269.15,63457.29
Daihatsu,Hatchback,Manual,Diesel,First,2023,1714,31950,283.15,14157.41
Suzuki,Coupe,Automatic,Hybrid,Second,2008,1660,237694,42.25,2112.43
BMW,SUV,Automatic,Petrol,Second,2021,3861,49188,769.55,38477.43
BMW,Sedan,Manual,Diesel,Third,2018,3364,88144,265.31,13265.63
Suzuki,Coupe,Automatic,Hybrid,First,2022,2320,44910,461.30,23064.94
Mercedes,Coupe,Automatic,Diesel,Third,2005,3705,220620,63.15,3157.31
Porsche,Hatchback,Manual,Hybrid,First,2010,1825,168810,238.48,11923.86
Suzuki,Hatchback,Automatic,Diesel,First,2020,1815,69105,204.18,10209.09
Mazda,Hatchback,Automatic,Petrol,Third,2024,2183,15781,438.78,21939.06
Toyota,Sedan,Manual,Diesel,Second,2017,1155,113656,55.89,2794.51
Toyota,SUV,Automatic,Hybrid,First,2006,2205,370101,72.42,3621.19
Suzuki,SUV,Manual,Diesel,Third,2022,1422,40974,207.91,10395.34
BMW,SUV,Manual,Diesel,Second,2015,2201,174560,89.26,4462.89
Suzuki,Sedan,Automatic,Petrol,Second,2024,1056,15501,231.94,11597.00
Porsche,MPV,Manual,Diesel,Second,2008,1063,222377,72.00,3600.18
Mercedes,Coupe,Manual,Hybrid,Third,2011,2294,193382,37.01,1850.54
Honda,Sedan,Automatic,Petrol,Third,2005,1521,290420,41.97,2098.26
Mazda,Coupe,Manual,Diesel,Third,2010,1043,164550,54.42,2721.14
VW,Sedan,Automatic,Diesel,First,2024,1901,14961,538.56,26927.85
Toyota,Hatchback,Manual,Hybrid,Third,2012,1877,138294,55.20,2759.97
Daihatsu,Hatchback,Automatic,Petrol,First,2024,1538,15345,324.93,16246.53
BMW,MPV,Manual,Petrol,Third,2021,2107,61836,403.07,20153.61
Porsche,MPV,Manual,Diesel,First,2018,1128,112980,730.94,36546.88
Daihatsu,MPV,Manual,Petrol,First,2018,1620,81620,100.01,5000.59
Mercedes,Hatchback,Manual,Petrol,First,2005,3974,202020,56.27,2813.44
Toyota,Coupe,Manual,Diesel,Second,2013,1701,202620,55.79,2789.54
VW,SUV,Manual,Diesel,Third,2017,2229,91912,185.92,9295.98
BMW,Coupe,Manual,Hybrid,Third,2020,3926,73150,587.24,29361.85
Toyota,SUV,Manual,Petrol,First,2010,1066,250275,72.99,3649.48
BMW,Coupe,Automatic,Hybrid,Second,2009,2048,230912,50.74,2537.22
Porsche,SUV,Manual,Hybrid,Second,2008,1767,267852,127.51,6375.55
Mercedes,Sedan,Manual,Petrol,First,2023,2058,30998,819.74,40987.09
Toyota,Coupe,Automatic,Diesel,Second,2018,1689,115773,149.25,7462.52
Porsche,Sedan,Manual,Petrol,First,2019,1003,67320,840.65,42032.63
Ferrari,MPV,Manual,Hybrid,First,2024,6394,12810,4495.44,224772.07
Daihatsu,Hatchback,Manual,Diesel,First,2011,1812,208964,24.72,1236.21
Mercedes,Coupe,Automatic,Hybrid,Second,2013,3748,217188,89.23,4461.36
Mercedes,SUV,Manual,Diesel,Third,2020,2301,77895,446.33,22316.52
Toyota,Hatchback,Manual,Diesel,First,2023,1790,34706,338.91,16945.54
Daihatsu,Hatchback,Manual,Petrol,Second,2005,1373,304760,68.19,3409.62
Mercedes,MPV,Manual,Diesel,First,2018,2814,70322,363.79,18189.39
Suzuki,Sedan,Automatic,Diesel,First,2014,1060,169631,58.51,2925.31
BMW,SUV,Manual,Petrol,First,2009,2572,211008,59.38,2969.03
Porsche,Hatchback,Automatic,Hybrid,Third,2011,1996,173838,248.36,12418.09
BMW,MPV,Automatic,Hybrid,Second,2023,3552,28004,929.61,46480.61
Toyota,Sedan,Automatic,Hybrid,Third,2019,2090,85824,205.58,10279.02
Daihatsu,Sedan,Manual,Diesel,First,2010,2428,197745,45.97,2298.74
Porsche,Hatchback,Automatic,Diesel,Second,2021,2405,76436,1121.77,56088.59
Toyota,MPV,Manual,Diesel,Second,2008,1749,329817,40.29,2014.42
Toyota,Hatchback,Automatic,Diesel,Second,2010,1669,264525,40.65,2032.67
Mercedes,Hatchback,Automatic,Hybrid,Third,2017,2686,144768,212.70,10635.10
Mazda,Sedan,Manual,Hybrid,Second,2007,2099,250182,39.37,1968.31
Ferrari,Coupe,Manual,Petrol,Second,2015,5629,158320,1759.01,87950.56
Toyota,Coupe,Manual,Petrol,Third,2021,1456,57428,235.84,11792.23
Porsche,Coupe,Automatic,Diesel,First,2021,2408,56696,1636.96,81847.87
Ferrari,Hatchback,Manual,Petrol,Third,2011,5284,195594,699.72,34985.81
Mercedes,Coupe,Automatic,Diesel,Third,2007,2353,193950,52.03,2601.32
Toyota,Hatchback,Automatic,Petrol,Third,2016,1945,96219,79.96,3997.94
Toyota,Coupe,Manual,Petrol,Second,2012,1572,130156,40.85,2042.62
Mercedes,Coupe,Manual,Petrol,Second,2017,2661,115824,297.71,14885.55
Porsche,Coupe,Automatic,Petrol,Second,2011,1726,247100,294.36,14718.21
Suzuki,Hatchback,Manual,Hybrid,Third,2014,2348,160226,67.97,3398.63
Suzuki,Coupe,Manual,Hybrid,Second,2009,2360,242592,66.11,3305.29
BMW,Hatchback,Automatic,Diesel,First,2007,3765,345780,45.47,2273.39
Daihatsu,Hatchback,Manual,Hybrid,First,2006,1000,258153,59.42,2971.00
Daihatsu,Sedan,Manual,Hybrid,First,2020,2189,99360,212.82,10640.84
Mazda,MPV,Automatic,Diesel,First,2009,1644,285936,59.21,2960.64
Mercedes,SUV,Automatic,Diesel,Third,2024,2035,10560,973.19,48659.46
Audi,MPV,Manual,Hybrid,Third,2012,1552,136539,118.36,5918.01
Honda,Sedan,Automatic,Hybrid,First,2008,1521,276522,27.63,1381.41
Audi,Sedan,Automatic,Petrol,First,2015,2341,134770,274.77,13738.75
Ferrari,Coupe,Manual,Diesel,Second,2011,6462,233086,1077.12,53855.95
Mazda,Coupe,Automatic,Hybrid,First,2018,1987,116935,286.40,14319.88
Daihatsu,SUV,Automatic,Petrol,Second,2015,1187,129470,73.14,3657.01
Mercedes,MPV,Automatic,Hybrid,Third,2021,3198,71764,585.37,29268.45
VW,MPV,Manual,Diesel,Third,2017,1992,133936,91.93,4596.75
BMW,Sedan,Manual,Petrol,Third,2020,3102,87570,397.02,19850.93
Ferrari,SUV,Automatic,Hybrid,Third,2013,4392,210012,1091.32,54565.85
Mercedes,MPV,Manual,Diesel,First,2010,3537,157155,28.19,1409.55
BMW,MPV,Automatic,Diesel,Third,2022,2990,54399,598.96,29947.89
Suzuki,SUV,Automatic,Petrol,Third,2008,1274,298044,32.36,1617.87
Ferrari,MPV,Automatic,Hybrid,First,2008,5973,334407,547.60,27379.77
Mercedes,MPV,Manual,Petrol,Third,2023,2865,27048,768.60,38429.81
Mercedes,SUV,Manual,Diesel,First,2011,2081,228312,47.57,2378.46
BMW,Hatchback,Automatic,Petrol,First,2014,2045,116314,98.55,4927.51
Porsche,MPV,Manual,Petrol,Third,2013,1433,123732,292.93,14646.69
Daihatsu,MPV,Manual,Hybrid,Second,2024,1011,11789,214.13,10706.35
Audi,Hatchback,Manual,Diesel,First,2021,1385,74068,550.26,27513.00
BMW,Coupe,Manual,Diesel,Second,2009,2918,315296,60.52,3025.85
VW,Hatchback,Manual,Hybrid,First,2013,1576,231480,40.23,2011.66
Audi,SUV,Manual,Petrol,Third,2012,1174,223717,39.96,1997.90
Mercedes,Coupe,Automatic,Hybrid,First,2020,2379,80445,681.85,34092.28
BMW,Sedan,Automatic,Petrol,Second,2020,3462,64635,521.46,26072.90
Porsche,MPV,Automatic,Diesel,Second,2007,1226,238662,28.73,1436.26
BMW,Sedan,Automatic,Petrol,First,2018,2225,125104,260.57,13028.27
Daihatsu,Coupe,Manual,Petrol,Second,2020,1444,92360,152.52,7626.24
Mercedes,Sedan,Manual,Diesel,Second,2022,3079,52857,740.76,37038.24
Toyota,SUV,Automatic,Petrol,Second,2017,1666,131568,94.40,4720.05
Honda,SUV,Manual,Petrol,Third,2008,1212,269076,63.42,3171.12
BMW,SUV,Automatic,Hybrid,Second,2020,3247,72250,589.74,29487.02
BMW,MPV,Manual,Diesel,First,2005,2362,304080,41.25,2062.73
BMW,Hatchback,Manual,Diesel,Third,2007,3768,300096,47.52,2375.76
Ferrari,Coupe,Manual,Diesel,Second,2005,4062,307980,348.43,17421.42
Ferrari,Coupe,Automatic,Hybrid,Third,2010,5800,253800,846.17,42308.31
Ferrari,SUV,Automatic,Diesel,First,2022,4522,50196,3891.69,194584.74
Daihatsu,Hatchback,Manual,Petrol,Second,2017,1964,105904,65.93,3296.26
Porsche,Coupe,Automatic,Petrol,First,2019,1488,101964,1142.84,57142.06
Mercedes,Coupe,Manual,Diesel,Third,2015,2901,103120,182.62,9131.06
BMW,Sedan,Manual,Diesel,Second,2022,4000,51810,763.18,38159.12
Daihatsu,Coupe,Automatic,Diesel,Second,2010,1786,221685,44.75,2237.63
Audi,SUV,Manual,Hybrid,Third,2010,1290,155610,89.08,4454.20
Mazda,SUV,Manual,Hybrid,Second,2008,2093,293454,40.48,2024.14
Porsche,Hatchback,Automatic,Hybrid,Second,2018,2429,114849,808.99,40449.65
BMW,SUV,Manual,Diesel,First,2015,3729,138410,190.29,9514.30
BMW,Sedan,Automatic,Diesel,First,2010,2403,257415,22.80,1139.96
Mercedes,MPV,Manual,Diesel,Second,2024,2737,11977,1019.26,50963.06
Ferrari,Sedan,Automatic,Hybrid,Third,2024,4204,12417,3292.39,164619.32
VW,Hatchback,Automatic,Hybrid,First,2023,1938,34740,507.53,25376.36
Mercedes,MPV,Manual,Diesel,First,2022,3492,57117,868.05,43402.51
Ferrari,Sedan,Manual,Hybrid,First,2013,5789,192552,1214.11,60705.35
BMW,Coupe,Automatic,Petrol,First,2005,2868,228160,31.15,1557.70
Porsche,SUV,Automatic,Diesel,First,2012,1815,191100,384.86,19243.03
Porsche,Hatchback,Manual,Diesel,Third,2021,1210,76840,858.07,42903.51
Mazda,Sedan,Manual,Hybrid,Third,2016,1227,97380,89.78,4489.02
BMW,Hatchback,Automatic,Hybrid,First,2020,3992,70675,654.36,32718.21
Porsche,Sedan,Manual,Hybrid,First,2013,2344,139692,440.31,22015.40
Daihatsu,SUV,Automatic,Petrol,Second,2022,1109,32916,201.02,10050.89
Porsche,Coupe,Manual,Diesel,Second,2008,2251,209049,182.84,9141.81
Mercedes,Sedan,Automatic,Petrol,Second,2021,2278,42628,549.56,27478.19
Suzuki,Sedan,Automatic,Hybrid,Third,2023,1226,22048,238.66,11933.23
Daihatsu,Sedan,Automatic,Diesel,Second,2022,2432,57975,309.51,15475.74
Audi,Hatchback,Manual,Hybrid,First,2024,1240,15402,840.76,42037.82
Ferrari,SUV,Automatic,Petrol,Third,2014,6461,179938,1341.66,67083.18
Daihatsu,SUV,Manual,Petrol,Third,2010,1771,214665,73.31,3665.64
Audi,Coupe,Automatic,Petrol,Second,2011,1729,196308,94.46,4722.84
BMW,Sedan,Automatic,Diesel,Second,2012,3704,238303,67.19,3359.38
Suzuki,Hatchback,Automatic,Petrol,Third,2024,1318,16493,251.47,12573.37
Daihatsu,Hatchback,Automatic,Petrol,Second,2012,1717,162448,64.35,3217.74
Porsche,SUV,Automatic,Diesel,Second,2013,2194,137160,485.23,24261.48
Mercedes,SUV,Automatic,Petrol,First,2020,3163,84075,641.93,32096.66
Mazda,MPV,Automatic,Hybrid,First,2020,1334,56840,276.29,13814.60
BMW,Sedan,Manual,Diesel,Second,2024,2970,10053,984.74,49237.25
Suzuki,MPV,Manual,Diesel,Second,2013,1977,212892,49.47,2473.28
Ferrari,Coupe,Manual,Hybrid,Third,2008,6342,182903,709.99,35499.33
BMW,Coupe,Manual,Petrol,Third,2022,2776,36510,739.81,36990.34
Mercedes,Hatchback,Automatic,Diesel,Second,2017,3223,129152,255.76,12788.00
Mercedes,SUV,Manual,Petrol,Third,2012,2737,149383,42.99,2149.68
VW,MPV,Automatic,Petrol,Second,2014,1532,145112,42.19,2109.33
Toyota,Coupe,Manual,Hybrid,Second,2006,1772,209722,38.29,1914.30
Porsche,Coupe,Manual,Diesel,Third,2021,1812,59712,1205.41,60270.38
Daihatsu,Coupe,Manual,Hybrid,Second,2021,2488,50908,353.41,17670.31
Audi,MPV,Automatic,Petrol,First,2012,1733,254618,65.61,3280.40
Toyota,SUV,Automatic,Petrol,Third,2013,1598,168660,48.58,2429.08
Suzuki,MPV,Automatic,Diesel,Third,2005,2104,204700,49.62,2480.81
Ferrari,Sedan,Manual,Diesel,Third,2015,4001,136860,1162.73,58136.38
Toyota,MPV,Manual,Hybrid,First,2008,1503,191539,62.98,3148.88
Audi,SUV,Automatic,Hybrid,Second,2018,1137,71848,453.26,22662.82
Mazda,Coupe,Automatic,Petrol,Third,2023,1807,25990,454.18,22708.88
Mercedes,MPV,Automatic,Hybrid,Third,2021,2476,66044,508.41,25420.70
Honda,SUV,Automatic,Petrol,First,2017,1744,139184,103.51,5175.65
Porsche,MPV,Manual,Hybrid,Second,2008,2466,316421,39.86,1992.97
Suzuki,SUV,Automatic,Hybrid,Second,2015,1602,194600,72.31,3615.58
Mercedes,Hatchback,Automatic,Diesel,Third,2018,2673,106309,251.48,12574.04
Porsche,Coupe,Automatic,Diesel,Second,2010,1726,253440,233.38,11669.02
Mercedes,Sedan,Manual,Diesel,Third,2023,3204,30998,813.94,40696.78
Porsche,SUV,Manual,Petrol,Third,2008,1733,322830,58.41,2920.35
BMW,Hatchback,Manual,Petrol,Second,2023,2688,24320,787.97,39398.49
Honda,Hatchback,Automatic,Hybrid,First,2023,1283,22716,334.93,16746.39
Suzuki,SUV,Automatic,Hybrid,First,2012,1215,191516,60.22,3010.84
VW,Hatchback,Automatic,Diesel,Second,2011,1976,154714,53.25,2662.59
Toyota,Coupe,Automatic,Hybrid,Third,2015,1802,109290,134.58,6729.08
Mercedes,Sedan,Manual,Diesel,Second,2023,2340,20666,807.65,40382.51
VW,MPV,Automatic,Hybrid,Third,2007,1822,234144,46.77,2338.37
Daihatsu,Hatchback,Automatic,Diesel,First,2013,1387,173892,64.78,3238.77
Suzuki,Coupe,Automatic,Hybrid,First,2013,1553,166128,59.38,2969.12
Toyota,Coupe,Automatic,Hybrid,First,2018,1358,123144,184.90,9245.05
Toyota,SUV,Automatic,Petrol,Third,2020,2177,60035,238.98,11948.85
Porsche,SUV,Manual,Petrol,First,2010,1580,185970,253.08,12654.08
Daihatsu,Sedan,Automatic,Hybrid,Third,2011,1460,237482,38.47,1923.69
BMW,Hatchback,Manual,Diesel,First,2011,3755,269304,51.78,2588.84
Toyota,Sedan,Manual,Petrol,Third,2008,1929,196112,31.71,1585.58
Toyota,Hatchback,Manual,Petrol,Second,2018,1274,79940,71.67,3583.66
Mazda,SUV,Automatic,Diesel,Third,2024,1556,13235,437.65,21882.64
Toyota,Coupe,Automatic,Hybrid,Second,2023,1208,23938,373.24,18661.96
BMW,SUV,Manual,Petrol,Third,2015,3184,166590,115.14,5756.85
Toyota,Sedan,Manual,Petrol,First,2014,1070,178464,31.83,1591.27
Suzuki,Coupe,Manual,Petrol,Third,2015,2041,138290,31.94,1597.04
Suzuki,Coupe,Manual,Petrol,First,2009,2053,301808,37.80,1890.14
Toyota,Sedan,Manual,Diesel,Third,2019,2239,83808,153.79,7689.67
